gameId,gameName,candidateTitle,candidateSource,matchScore,matched,reasons,type,reviewFlag,label
999,Oddworld: Abe's Oddysee,Oddworld: Abe’s Oddysee – New ‘n’ Tasty,FitGirl,105,true,exact phrase in title|title contains game name|strong title match|very high word match ratio|all main keywords present,top_candidate,,0
240009,Elden Ring: Shadow of the Erdtree,"ELDEN RING: Shadow of the Erdtree Deluxe Edition, v1.12/v1.12.1 + 9 DLCs/Bonuses + Windows 7 Fix",FitGirl,88,true,exact phrase in title|title contains game name|strong title match|very high word match ratio|all main keywords present|title is numbered sequel|minor description overlap|platform info present,top_candidate,,1
240009,Elden Ring: Shadow of the Erdtree,1269- ELDEN RING: Deluxe Edition + Shadow of the Erdtree Premium Bundle (v1.16.1 + All DLCs + Bonus Content + Online Multiplayer + MULTi15) (From 49.9 GB) [DODI Repack],DODI,5,false,very high word match ratio|all main keywords present|title is numbered sequel,top_candidate,,1
119133,Elden Ring,"ELDEN RING: Shadow of the Erdtree Deluxe Edition, v1.12/v1.12.1 + 9 DLCs/Bonuses + Windows 7 Fix",FitGirl,63,false,phrase weakly matches|title contains game name|strong title match|very high word match ratio|all main keywords present|title is numbered sequel|minor description overlap|platform info present,top_candidate,,1
119133,Elden Ring,"ELDEN RING NIGHTREIGN: Deluxe Edition, v1.03/v1.03.1 + 5 DLCs/Bonuses",FitGirl,45,false,phrase weakly matches|title contains game name|strong title match|very high word match ratio|all main keywords present|title is numbered sequel|description mismatch,broad_candidate,,0
119133,Elden Ring,2150- Elden Ring Nightreign: Deluxe Edition (v1.03.2 + All DLCs + Bonus Content + MULTi15) (From 20.2 GB) [DODI Repack],DODI,40,false,phrase weakly matches|title contains game name|very high word match ratio|all main keywords present|title is numbered sequel,top_candidate,,0
119133,Elden Ring,1269- ELDEN RING: Deluxe Edition + Shadow of the Erdtree Premium Bundle (v1.16.1 + All DLCs + Bonus Content + Online Multiplayer + MULTi15) (From 49.9 GB) [DODI Repack],DODI,25,false,phrase weakly matches|title contains game name|very high word match ratio|all main keywords present|too many unrelated words|title is numbered sequel,broad_candidate,,1
19560,God of War,God of War: Ragnarök – Digital Deluxe Edition + All DLCs/Bonuses + 6 GB VRAM Bypass,FitGirl,68,false,exact phrase in title|title contains game name|strong title match|very high word match ratio|title is numbered sequel|minor description overlap,top_candidate,,0
19560,God of War,"God of War – v1.0.12 (v1.0.475.7534, Update 13, Build 8813492) + Bonus OST + Windows 7 Fix",FitGirl,28,false,exact phrase in title|title contains game name|strong title match|very high word match ratio|title is numbered sequel|minor description overlap|platform info present|update/patch only,broad_candidate,,1
19560,God of War,Godzilla Voxel Wars – v1.0.0-W52,FitGirl,15,false,very high word match ratio|description mismatch,broad_candidate,,0
19560,God of War,Little Gods of the Abyss,FitGirl,3,false,moderate word match|description mismatch,broad_candidate,,0
19560,God of War,RuneQuest: Warlords – v1.0.0,FitGirl,3,false,moderate word match|description mismatch,broad_candidate,,0
19560,God of War,1246- God of War (v1.0.12 / v1.0.475.7534 – Update 13 – Build 8813492 + OST + Win 7 Fix + MULTi18) (From 26.3 GB) – [DODI Repack],DODI,5,false,exact phrase in title|title contains game name|very high word match ratio|title is numbered sequel|update/patch only,top_candidate,,1
1985,Metal Gear Solid V: The Phantom Pain,Metal Gear Solid V: The Phantom Pain – v1.15 + All DLCs,FitGirl,138,true,exact phrase in title|title contains game name|strong title match|very high word match ratio|all main keywords present|sequel number matches|minor description overlap,top_candidate,,1
